NdUnfilled_min_value,MendeleevNumber_arithmetic_average,MendeleevNumber_composition_average,MeltingT_difference,BCCvolume_padiff_difference,NdUnfilled_arithmetic_average,BCCmagmom_min_value,ElasticModulus_difference,HHIr_min_value,MiracleRadius_composition_average,MendeleevNumber_max_value,GSenergy_pa_min_value,IonicRadii_composition_average,AtomicVolume_difference,MiracleRadius_min_value,valence_max_value,NdUnfilled_composition_average,GSenergy_pa_max_value,BCCenergy_pa_max_value,MiracleRadius_arithmetic_average,HeatVaporization_max_value,BCCvolume_pa_arithmetic_average,ThermalExpansionCoefficient_difference,CovalentRadius_difference,AtomicRadii_composition_average
0.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,1400.0,144.0,65.0,-2.76539356,1.15,0.0,144.0,2.0,0.0,-2.76539356,-2.71997917,144.0,250.63,16.2,0.0,0.0,1.444
3.0,61.5,61.5,533.0699999999999,0.0,1.5,1.6840372,128.0,1400.0,134.5,65.0,-2.76539356,0.8999999999999999,6.0797872667776005,125.0,3.0,1.5,-2.76539356,-2.71997917,134.5,373.3,13.32,5.899999999999999,19.0,1.3485
5.0,57.0,57.0,945.07,0.0,2.5,0.0,179.0,1400.0,137.0,65.0,-2.76539356,0.885,4.9827104759972,130.0,6.0,2.5,-2.76539356,-2.71997917,137.0,339.5,13.685,13.999999999999998,6.0,1.3465
0.0,64.5,64.5,122.83999999999992,0.0,0.0,0.0,44.0,1400.0,135.0,65.0,-2.76539356,0.94,5.245706017990901,126.0,2.0,0.0,-2.76539356,-2.71997917,135.0,300.5,13.64,2.3999999999999986,13.0,1.361
4.0,60.0,60.0,576.0699999999999,0.0,2.0,2.1106628,131.0,1400.0,134.5,65.0,-2.76539356,0.85,5.298282980348501,125.0,6.0,2.0,-2.76539356,-2.71997917,134.5,349.5,13.465,7.099999999999998,13.0,1.3425
5.0,58.5,58.5,284.06999999999994,0.0,2.5,0.8185729,118.0,1400.0,138.0,65.0,-2.76539356,0.91,4.8629434842923,132.0,7.0,2.5,-2.76539356,-2.71997917,138.0,250.63,13.355,2.8000000000000007,6.0,1.342
2.0,63.0,63.0,493.07,0.0,1.0,0.0645672,128.0,1400.0,135.0,65.0,-2.76539356,0.92,6.1343635081857,126.0,3.0,1.0,-2.76539356,-2.71997917,135.0,377.5,13.265,5.499999999999998,21.0,1.345
9.0,38.0,38.0,579.0699999999999,0.0,4.5,0.0,0.0,1400.0,153.0,65.0,-2.76539356,0.95,7.933662968700798,144.0,3.0,4.5,-2.76539356,-2.71997917,153.0,304.8,19.2,8.899999999999999,25.0,1.525
8.0,54.0,54.0,706.0699999999999,0.0,4.0,0.0,30.0,1400.0,143.0,65.0,-2.76539356,0.8799999999999999,0.5606692089153,142.0,4.0,4.0,-2.76539356,-2.71997917,143.0,425.2,16.52,10.3,15.0,1.446
7.0,55.5,55.5,948.07,0.0,3.5,0.0,49.0,1400.0,139.0,65.0,-2.76539356,0.845,3.2307497289106006,134.0,5.0,3.5,-2.76539356,-2.71997917,139.0,446.7,14.605,10.499999999999998,8.0,1.3824999999999998
0.0,67.0,67.0,542.2500000000001,0.0,0.0,0.0,15.0,1400.0,142.0,69.0,-2.76539356,0.945,1.8699642150883005,140.0,2.0,0.0,-2.76539356,-2.71997917,142.0,250.63,15.18,11.3,23.0,1.388
0.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,1000.0,141.0,73.0,-3.74542312,0.54,0.0,141.0,3.0,0.0,-3.74542312,-3.65018713,141.0,290.8,16.92,0.0,0.0,1.43
0.0,69.0,69.0,301.46000000000004,0.5700000000000001,0.0,0.0,9.5,1000.0,142.5,73.0,-3.74542312,0.845,0.4812234323809008,141.0,3.0,0.0,-3.74542312,-3.65018713,142.5,290.8,16.560000000000002,4.200000000000003,24.0,1.4369999999999998
0.0,78.5,78.5,156.52999999999997,3.605,0.0,0.0,31.5,1000.0,128.0,84.0,-3.74542312,0.56,5.1295412196680985,115.0,5.0,0.0,-3.74542312,-3.65018713,128.0,290.8,17.965000000000003,7.700000000000001,2.0,1.41
0.0,69.5,69.5,403.8599999999999,0.41,0.0,0.0,7.799999999999997,1000.0,142.0,73.0,-3.74542312,0.6950000000000001,0.3526390989705987,141.0,3.0,0.0,-3.74542312,-3.65018713,142.0,324.43,16.825000000000003,8.900000000000002,15.0,1.436
0.0,79.5,79.5,389.0700000000001,3.48,0.0,0.0,36.5,1000.0,151.5,86.0,-3.74542312,0.785,18.8890345646965,141.0,5.0,0.0,-3.74542312,-3.65018713,151.5,290.8,23.415,9.7,27.0,1.565
0.0,40.0,40.0,181.53,1.39,0.0,0.0,49.5,1000.0,171.0,73.0,-3.74542312,0.77,26.3427627849617,141.0,3.0,0.0,-3.74542312,-3.65018713,171.0,290.8,26.87,0.8000000000000007,55.0,1.7
0.0,71.5,71.5,339.25,0.285,0.0,0.0,8.5,1000.0,149.0,73.0,-3.74542312,0.745,4.985600938285099,141.0,3.0,0.0,-3.74542312,-3.65018713,149.0,290.8,18.285,7.699999999999999,23.0,1.4595
9.0,44.0,44.0,137.52999999999997,0.81,4.5,0.0,40.5,1000.0,161.5,73.0,-3.74542312,0.84,18.190076960824,141.0,4.0,4.5,-3.74542312,-3.65018713,161.5,313.8,26.895,17.900000000000002,83.0,1.6275
3.0,65.5,65.5,834.53,0.245,1.5,1.6840372,137.5,1000.0,133.0,73.0,-3.74542312,0.595,5.5985638343967,125.0,3.0,1.5,-3.74542312,-3.65018713,133.0,373.3,13.68,10.1,5.0,1.3415
5.0,61.0,61.0,1246.53,0.46,2.5,0.0,188.5,1000.0,135.5,73.0,-3.74542312,0.5800000000000001,4.501487043616299,130.0,6.0,2.5,-3.74542312,-3.65018713,135.5,339.5,14.045000000000002,18.200000000000003,18.0,1.3395
0.0,68.5,68.5,424.3,0.43,0.0,0.0,53.5,1000.0,133.5,73.0,-3.74542312,0.635,4.764482585610001,126.0,3.0,0.0,-3.74542312,-3.65018713,133.5,300.5,14.0,6.600000000000001,11.0,1.354
0.0,54.0,54.0,836.53,0.345,0.0,0.0,2.5,1000.0,158.0,73.0,-3.74542312,0.77,14.0416438495035,141.0,3.0,0.0,-3.74542312,-3.65018713,158.0,292.88,23.8,13.7,68.0,1.5935
4.0,64.0,64.0,877.53,0.44,2.0,2.1106628,140.5,1000.0,133.0,73.0,-3.74542312,0.545,4.817059547967601,125.0,6.0,2.0,-3.74542312,-3.65018713,133.0,349.5,13.825,11.3,11.0,1.3355
0.0,73.5,73.5,630.56,1.3575,0.0,0.0,59.5,1000.0,137.5,74.0,-3.74542312,0.5800000000000001,3.0160889655725,134.0,3.0,0.0,-3.74542312,-3.65018713,137.5,290.8,17.43,3.400000000000002,1.0,1.42
0.0,76.0,76.0,277.93000000000006,4.625,0.0,0.0,44.5,1000.0,127.5,79.0,-3.74542312,0.535,6.066551864848702,114.0,4.0,0.0,-3.74542312,-3.65018713,127.5,334.3,17.87,17.400000000000002,1.0,1.4
8.0,59.0,59.0,1572.53,0.77,4.0,0.0,68.5,1000.0,149.5,73.0,-3.74542312,0.685,5.674286676930901,141.0,4.0,4.0,-3.74542312,-3.65018713,149.5,661.07,19.395000000000003,17.200000000000003,54.0,1.497
0.0,72.0,72.0,699.1500000000001,3.347586207,0.0,0.0,48.5,1000.0,146.5,73.0,-3.74542312,0.78,8.0173175521203,141.0,3.0,0.0,-3.74542312,-3.65018713,146.5,290.8,19.625,25.9,11.0,1.515
0.0,74.0,74.0,503.72,0.27,0.0,0.0,56.5,1000.0,148.0,75.0,-3.74542312,0.67,9.4882336428788,141.0,3.0,0.0,-3.74542312,-3.65018713,148.0,290.8,20.675,9.0,21.0,1.545
3.0,66.5,66.5,1805.53,0.02,1.5,0.4830855,462.5,1000.0,138.5,73.0,-3.74542312,0.585,2.445874048897199,136.0,3.0,1.5,-3.74542312,-3.65018713,138.5,563.58,15.775000000000002,16.700000000000003,20.0,1.3935
9.0,43.0,43.0,259.53,0.1325,4.5,0.0008051,20.5,1000.0,164.0,73.0,-3.74542312,0.85,20.9362216012932,141.0,3.0,4.5,-3.74542312,-3.65018713,164.0,399.57,27.195,17.900000000000002,86.0,1.6535
0.0,70.5,70.5,10.470000000000027,0.45,0.0,0.0,26.1,500.0,150.5,73.0,-3.74542312,0.63,6.6278685781168,141.0,3.0,0.0,-3.74542312,-3.65018713,150.5,290.8,19.9,1.6999999999999993,20.0,1.515
5.0,62.5,62.5,585.53,0.417586207,2.5,0.8185729,127.5,1000.0,136.5,73.0,-3.74542312,0.605,4.381720051911399,132.0,7.0,2.5,-3.74542312,-3.65018713,136.5,290.8,13.715,1.400000000000002,18.0,1.335
5.0,61.5,61.5,1962.53,0.44,2.5,0.0,251.5,1000.0,140.0,73.0,-3.74542312,0.565,1.093543829707599,139.0,6.0,2.5,-3.74542312,-3.65018713,140.0,590.4,16.305,18.3,33.0,1.396
0.0,37.5,37.5,562.6,0.473333333,0.0,0.0,65.5,500.0,160.5,73.0,-3.74542312,0.78,22.8439043647428,141.0,3.0,0.0,-3.74542312,-3.65018713,160.5,290.8,23.065,47.9,45.0,1.665
6.0,60.0,60.0,1816.53,0.44,3.0,0.0,33.5,1000.0,142.0,73.0,-3.74542312,0.5900000000000001,1.4077084628069017,141.0,5.0,3.0,-3.74542312,-3.65018713,142.0,690.1,17.55,15.8,43.0,1.4295
0.0,46.0,46.0,360.53,0.28,0.0,0.0,32.5,1000.0,161.5,73.0,-3.74542312,0.915,17.574630364944397,141.0,3.0,0.0,-3.74542312,-3.65018713,161.5,290.8,25.945,16.200000000000003,80.0,1.6255
2.0,67.0,67.0,794.53,0.43,1.0,0.0645672,137.5,1000.0,133.5,73.0,-3.74542312,0.615,5.653140075804799,126.0,3.0,1.0,-3.74542312,-3.65018713,133.5,377.5,13.625,9.7,3.0,1.338
4.0,65.0,65.0,2372.53,0.0499999999999999,2.0,0.0,479.5,1000.0,138.0,73.0,-3.74542312,0.585,2.6107268494198994,135.0,8.0,2.0,-3.74542312,-3.65018713,138.0,627.6,15.75,18.0,23.0,1.385
0.0,78.0,78.0,616.1700000000001,8.850238095,0.0,0.0,65.5,1000.0,121.5,83.0,-3.74542312,0.355,11.6196972991313,102.0,5.0,0.0,-3.74542312,-3.65018713,121.5,290.8,15.54,103.9,14.0,1.355
0.0,77.0,77.0,332.86,0.63,0.0,0.0,50.5,1000.0,157.5,81.0,-3.74542312,0.865,13.746998495229398,141.0,4.0,0.0,-3.74542312,-3.65018713,157.5,290.8,22.42,5.699999999999999,25.0,1.59
0.0,67.5,67.5,894.5799999999999,0.38,0.0,0.0,56.5,1000.0,141.5,73.0,-3.74542312,0.5900000000000001,1.8960382489461995,141.0,4.0,0.0,-3.74542312,-3.65018713,141.5,393.3,15.695,11.3,18.0,1.4025
1.0,68.0,68.0,1107.93,0.39,0.5,0.0,104.5,1000.0,140.0,73.0,-3.74542312,0.585,1.2339610107756993,139.0,4.0,0.5,-3.74542312,-3.65018713,140.0,510.45,15.995,14.3,15.0,1.4049999999999998
5.0,63.5,63.5,2525.53,0.295,2.5,0.0,390.5,1000.0,139.0,73.0,-3.74542312,0.535,1.8840902878964003,137.0,7.0,2.5,-3.74542312,-3.65018713,139.0,707.1,15.86,16.900000000000002,30.0,1.4
2.0,66.0,66.0,1303.53,0.14,1.0,0.3703569,259.5,1000.0,136.5,73.0,-3.74542312,0.605,2.8689147067624,132.0,6.0,1.0,-3.74542312,-3.65018713,136.5,495.39,15.43,14.900000000000002,21.0,1.3875
3.0,64.5,64.5,1673.53,0.0399999999999999,1.5,5.73e-05,359.5,1000.0,137.5,73.0,-3.74542312,0.5800000000000001,3.0265501082098005,134.0,8.0,1.5,-3.74542312,-3.65018713,137.5,567.77,15.415,16.700000000000003,25.0,1.3775
0.0,80.5,80.5,545.11,10.606875,0.0,0.0,51.5,1000.0,122.0,88.0,-3.74542312,0.415,10.5721212771613,103.0,6.0,0.0,-3.74542312,-3.65018713,122.0,290.8,16.27,46.9,16.0,1.35
0.0,79.0,79.0,29.69000000000005,4.91,0.0,0.0,3.5,1000.0,148.0,85.0,-3.74542312,0.65,13.596998926279198,141.0,5.0,0.0,-3.74542312,-3.65018713,148.0,290.8,22.005000000000003,12.1,18.0,1.51
9.0,42.0,42.0,880.53,0.475,4.5,0.0,9.5,1000.0,151.5,73.0,-3.74542312,0.645,8.414886401081699,141.0,3.0,4.5,-3.74542312,-3.65018713,151.5,304.8,19.56,13.1,49.0,1.518
0.0,81.0,81.0,439.47,6.19,0.0,0.0,50.5,1000.0,129.5,89.0,-3.74542312,0.52,10.6143801083177,118.0,6.0,0.0,-3.74542312,-3.65018713,129.5,290.8,18.545,21.9,1.0,1.415
0.0,75.5,75.5,753.53,6.2700000000000005,0.0,0.0,91.5,1000.0,125.5,78.0,-3.74542312,0.4,3.421953199102901,110.0,4.0,0.0,-3.74542312,-3.65018713,125.5,359.0,15.765,20.5,10.0,1.375
0.0,76.5,76.5,428.39,8.495,0.0,0.0,20.5,1000.0,148.0,80.0,-3.74542312,0.625,10.3723607445547,141.0,4.0,0.0,-3.74542312,-3.65018713,148.0,290.8,21.075000000000003,1.1000000000000014,18.0,1.525
7.0,60.5,60.5,2356.53,0.44,3.5,0.0,112.5,1000.0,143.0,73.0,-3.74542312,0.5900000000000001,1.4523050416739984,141.0,5.0,3.5,-3.74542312,-3.65018713,143.0,737.0,17.520000000000003,16.8,49.0,1.43
5.0,63.0,63.0,1496.53,0.285,2.5,0.0,309.5,1000.0,138.5,73.0,-3.74542312,0.55,2.4434130089832,136.0,7.0,2.5,-3.74542312,-3.65018713,138.5,502.0,15.68,15.1,26.0,1.394
0.0,81.5,81.5,210.8100000000001,6.903333333,0.0,0.0,30.5,1000.0,140.5,90.0,-3.74542312,0.755,17.3622642050373,140.0,6.0,0.0,-3.74542312,-3.65018713,140.5,290.8,22.61,4.300000000000001,17.0,1.515
8.0,58.0,58.0,1007.53,0.29,4.0,0.0,39.5,1000.0,141.5,73.0,-3.74542312,0.575,1.0418926412962008,141.0,4.0,4.0,-3.74542312,-3.65018713,141.5,425.2,16.880000000000003,14.500000000000002,39.0,1.439
0.0,74.5,74.5,356.47,1.1,0.0,0.0,58.5,1000.0,156.5,76.0,-3.74542312,1.065,12.0464520433983,141.0,3.0,0.0,-3.74542312,-3.65018713,156.5,290.8,21.585,6.799999999999997,24.0,1.5699999999999998
7.0,59.5,59.5,1249.53,0.44,3.5,0.0,58.5,1000.0,137.5,73.0,-3.74542312,0.54,2.7495262965297,134.0,5.0,3.5,-3.74542312,-3.65018713,137.5,446.7,14.965,14.7,32.0,1.3755
6.0,62.0,62.0,2761.53,0.44,3.0,0.0,330.5,1000.0,138.0,73.0,-3.74542312,0.5700000000000001,0.7356900935147994,135.0,6.0,3.0,-3.74542312,-3.65018713,138.0,422.58,16.485,18.6,41.0,1.4
9.0,42.5,42.5,865.53,0.275,4.5,0.0,6.099999999999994,1000.0,160.0,73.0,-3.74542312,0.78,16.418788365009704,141.0,3.0,4.5,-3.74542312,-3.65018713,160.0,393.3,24.725,11.8,69.0,1.62
