Reduced barrier (eV),F2,F3,F4,F5,F6,Host element,Solute element,predict_Pt
10,10,10,10,10,10,Ag,Ag,0
10,10,10,10,10,10,Ag,Co,0
10,10,10,10,10,10,Ag,Ag,0
10,10,10,10,10,10,Ag,Co,0
10,10,10,10,10,10,Ag,Ag,0
10,10,10,10,10,10,Ag,Co,0
10,10,10,10,10,10,Ag,Ag,0
10,10,10,10,10,10,Ag,Co,0
10,10,10,10,10,10,Ag,Ag,0
10,10,10,10,10,10,Ag,Co,0
10,89,20,178,30,267,Ag,Ag,0
11,88,22,176,33,264,Ag,Co,0
12,87,24,174,36,261,Ag,Ag,0
13,86,26,172,39,258,Ag,Co,0
14,85,28,170,42,255,Ag,Ag,0
15,84,30,168,45,252,Ag,Co,0
16,83,32,166,48,249,Ag,Ag,0
17,82,34,164,51,246,Ag,Co,0
18,81,36,162,54,243,Ag,Ag,0
19,80,38,160,57,240,Ag,Co,0
20,79,40,158,60,237,Ag,Ag,0
21,78,42,156,63,234,Ag,Co,0
22,77,44,154,66,231,Ag,Ag,0
23,76,46,152,69,228,Ag,Co,0
24,75,48,150,72,225,Ag,Ag,0
25,74,50,148,75,222,Ag,Co,0
26,73,52,146,78,219,Ag,Ag,0
27,72,54,144,81,216,Ag,Co,0
28,71,56,142,84,213,Ag,Ag,0
29,70,58,140,87,210,Ag,Co,0
30,69,60,138,90,207,Ag,Ag,0
31,68,62,136,93,204,Ag,Co,0
32,67,64,134,96,201,Ag,Ag,0
33,66,66,132,99,198,Ag,Co,0
34,65,68,130,102,195,Ag,Ag,0
35,64,70,128,105,192,Ag,Co,0
36,63,72,126,108,189,Ag,Ag,0
37,62,74,124,111,186,Ag,Co,0
38,61,76,122,114,183,Ag,Ag,0
39,60,78,120,117,180,Ag,Co,0
40,59,80,118,120,177,Ag,Ag,0
41,58,82,116,123,174,Ag,Co,0
42,57,84,114,126,171,Ag,Ag,0
43,56,86,112,129,168,Ag,Co,0
44,55,88,110,132,165,Ag,Ag,0
45,54,90,108,135,162,Ag,Co,0
46,53,92,106,138,159,Ag,Ag,0
47,52,94,104,141,156,Ag,Co,0
48,51,96,102,144,153,Ag,Ag,0
49,50,98,100,147,150,Ag,Co,0
50,49,100,98,150,147,Ag,Ag,0
51,48,102,96,153,144,Ag,Co,0
52,47,104,94,156,141,Ag,Ag,0
53,46,106,92,159,138,Ag,Co,0
54,45,108,90,162,135,Ag,Ag,0
55,44,110,88,165,132,Ag,Co,0
56,43,112,86,168,129,Ag,Ag,0
57,42,114,84,171,126,Ag,Co,0
58,41,116,82,174,123,Ag,Ag,0
59,40,118,80,177,120,Ag,Co,0
60,39,120,78,180,117,Ag,Ag,0
61,38,122,76,183,114,Ag,Co,0
62,37,124,74,186,111,Ag,Ag,0
63,36,126,72,189,108,Ag,Co,0
64,35,128,70,192,105,Ag,Ag,0
65,34,130,68,195,102,Ag,Co,0
66,33,132,66,198,99,Ag,Ag,0
67,32,134,64,201,96,Ag,Co,0
68,31,136,62,204,93,Ag,Ag,0
69,30,138,60,207,90,Ag,Co,0
70,29,140,58,210,87,Ag,Ag,0
71,28,142,56,213,84,Ag,Co,0
72,27,144,54,216,81,Ag,Ag,0
73,26,146,52,219,78,Ag,Co,0
74,25,148,50,222,75,Ag,Ag,0
75,24,150,48,225,72,Ag,Co,0
76,23,152,46,228,69,Ag,Ag,0
77,22,154,44,231,66,Ag,Co,0
78,21,156,42,234,63,Ag,Ag,0
79,20,158,40,237,60,Ag,Co,0
80,19,160,38,240,57,Ag,Ag,0
81,18,162,36,243,54,Ag,Co,0
82,17,164,34,246,51,Ag,Ag,0
83,16,166,32,249,48,Ag,Co,0
84,15,168,30,252,45,Ag,Ag,0
85,14,170,28,255,42,Ag,Co,0
86,13,172,26,258,39,Ag,Ag,0
87,12,174,24,261,36,Ag,Co,0
88,11,176,22,264,33,Ag,Ag,0
89,10,178,20,267,30,Ag,Co,0
90,9,180,18,270,27,Ag,Ag,0
91,8,182,16,273,24,Ag,Co,0
92,7,184,14,276,21,Ag,Ag,0
93,6,186,12,279,18,Ag,Co,0
94,5,188,10,282,15,Ag,Ag,0
95,4,190,8,285,12,Ag,Co,0
96,3,192,6,288,9,Ag,Ag,0
97,2,194,4,291,6,Ag,Co,0
98,1,196,2,294,3,Ag,Ag,0
99,0,198,0,297,0,Ag,Co,0
